EMBAYMENT NAME,Category,tidal.flushing,unhardenable.uncorrected,total.shoreline,unhard.std,hard.of.hard,high.intensity,stormwater,StormwaterSTD,pop.density,percent.septic,septic.acre,nutrient,bacteria,tidal.restrict,percent.sm,smacres.km,tidalflats.shoreline,seagrass,tidalflat.openwater
ANNISQUAM RIVER,4,6.1,13.21161928,59.9304,22.0449376,10.68988647,31.31554614,2575.580576,0.82,2.004920811,44.76169745,0.897436588,0.539853884,94.9101051,16.6254565,85.19471844,17.98902104,68.89638011,0.732493443,24.16317849
BACK RIVER / FORE RIVER / HINGHAM BAY,3,19.3,6.703322473,107.7217218,6.222814081,49.78296611,56.25571032,8005.983033,0.78,6.639463685,0,0,0,99.9999999,42.83333089,49.00749165,20.98570055,33.15691157,0.033323349,13.36837863
BARNSTABLE HARBOR,4,6.7,0.557810739,145.616178,0.383069207,1.353971955,19.48765151,5444.706801,0.36,0.480428875,56.75661743,0.272675178,0,99.47395636,1.090646338,82.33795299,33.05764338,65.12588197,0,18.64717878
BELLE ISLE CREEK / WINTHROP BAY,33,17,0,38.0536617,0,64.45554947,72.02163883,5115.083755,3.05,9.700012197,0,0,0,99.92864505,45.61194908,82.45413855,32.89477862,30.03200622,3.123363196,33.00347099
BLACK ROCK CREEK,,NA,0,23.05953851,0,0.477412425,21.99897644,1096.678529,1.63,0.963945874,49.55688395,0.477701538,0,0,0,86.30847449,54.41594624,4.802135977,0,1.773666085
BLACKS CREEK / QUINCY BAY,3,14.6,0.51987335,22.74462114,2.285697998,48.01505516,59.81628733,1520.369069,1.53,11.34680687,0,0,0,100,9.52589174,65.2358851,21.62226357,4.18659076,0,2.851855098
BLUEFISH RIVER / BACK RIVER / DUXBURY BAY,4,11.4,3.954001318,67.66489566,5.843504641,8.657240434,30.51694798,1556.625197,4.47,0.955151218,79.87756673,0.762951551,0,89.7291294,0.423221363,72.36230651,32.13727753,78.30029111,15.4277181,5.446225129
BOAT MEADOW CREEK / ROCK HARBOR,4,6.9,0.16796714,8.759656882,1.917508211,8.828676009,28.47899953,563.3554635,2.84,0.973037964,55.3574925,0.538649418,24.92402956,75.07597044,0.269003314,93.78873687,39.2239712,65.03529353,0,40.94418714
CHASE GARDEN CREEK,4,4.7,0.995788405,20.98234278,4.745839945,10.63032286,35.17075104,1276.502493,0.4,1.200831514,93.48824232,1.122636275,0,92.90646106,0,96.28533496,52.73523747,65.73821057,3.694226944,25.80979747
CHELSEA CREEK / MYSTIC RIVER / CHARLES RIVER,3,38.1,0,79.45524413,0,92.63725799,91.09059999,21949.82381,0.9,19.11895224,0,0,0,99.86150871,37.24959953,80.44416487,10.18482935,3.115580092,2.050893739,24.31017235
COHASSET HARBOR,4,4.7,9.515707533,44.50661483,21.38043428,15.73305858,45.90451413,2092.094958,3.09,1.694202133,47.59475666,0.806351382,10.72234055,100,42.38835543,76.39530892,24.97691085,17.46799874,8.287122664,19.05672644
EEL RIVER / PLYMOUTH HARBOR,1,10.2,0.382177562,22.51287554,1.6975955,45.94883794,54.67868507,1702.879969,0.38,2.820653529,50.36977451,1.420756822,0,99.76372469,0,36.79232958,7.146636155,49.06633428,19.4208529,0.232791727
ELLISVILLE HARBOR,2,4.6,1.090663053,4.638864024,23.51142537,20.85581832,19.92583734,319.8063469,0.16,0.616935858,52.02651851,0.320970248,0,10.44218391,0,38.02931048,63.04151988,25.43655606,13.65090048,321.7336582
ESSEX RIVER / ESSEX BAY,4,5.4,0.877780386,142.6572495,0.615307241,0.770623518,16.77507793,3798.356851,0.21,0.362563749,46.27057691,0.167760339,0,100,4.02944177,91.52754923,23.85823946,34.97578712,0,0.414456021
GLOUCESTER HARBOR,1,39.3,5.446771545,21.60403609,25.21182395,92.42551775,56.77998264,1319.07568,8.43,5.906223581,50.07663825,2.957638217,0,99.70405119,0,59.78611184,24.8214481,3.386773902,5.915975609,0.014822632
HERRING RIVER / HERRING POND,2,3.4,0,4.236733496,0,0,15.23236619,197.0426355,0.82,0.446309699,71.35087031,0.318445854,0,0,0,84.06537365,81.01411187,97.70020458,2.506608206,39.15792463
IPSWICH RIVER,4,5.3,0,87.49677594,0,0.8665114,35.38148167,2670.532393,0.87,1.254390703,49.79942066,0.624679303,0,100,26.01940664,82.83753119,18.11829897,36.22167867,0,4.186212759
