EMBAYMENT NAME,EcoType,MassBays Region,Northeastern_category,Total KM Shore,Habitat,Historic Flats Hab Available (km),1775,2005
ANNISQUAM RIVER,Yellow,Upper North Shore,4,87,Flats,85.2,4,624
BACK RIVER / FORE RIVER / HINGHAM BAY,Orange,Massachusetts Bay,3,124,Flats,109.4,777,1049
BARNSTABLE HARBOR,Yellow,Cape Cod,4,325,Flats,324.2,"2,539",1660
BELLE ISLE CREEK / WINTHROP BAY,Orange,Massachusetts Bay,3,38,Flats,33.4,"1,318",355
BLACK ROCK CREEK,Yellow,Upper North Shore,NA,40,Flats,39.3,0,25
BLACKS CREEK / QUINCY BAY,Orange,Massachusetts Bay,3,27,Flats,23,40,508
BLUEFISH RIVER / BACK RIVER / DUXBURY BAY,Green,South Shore,4,133,Flats,132,"3,184",1541
BOAT MEADOW CREEK / ROCK HARBOR,Yellow,Cape Cod,4,17,Flats,17.2,301,280
BOSTON HARBOR ISLANDS,Orange,Massachusetts Bay,NA,43,Flats,,4.8,171
CHASE GARDEN CREEK,Yellow,Cape Cod,4,57,Flats,55.9,535,473
CHELSEA CREEK / MYSTIC RIVER / CHARLES RIVER,Orange,Massachusetts Bay,3,98,Flats,81.7,"2,244",198
COASTAL PLUM ISLAND SOUND,Yellow,Upper North Shore,4,306,Flats,,873.7,1826
COHASSET HARBOR,Green,South Shore,4,61,Flats,51.2,160,255
DANVERS RIVER,Orange,Lower North Shore,,43,Flats,41.5,247,379
EEL RIVER / PLYMOUTH HARBOR,Green,South Shore,1,25,Flats,21.5,"1,013",526
ELLISVILLE HARBOR,Yellow,Cape Cod,2,10,Flats,9.9,78,1444
ESSEX RIVER / ESSEX BAY,Yellow,Upper North Shore,4,202,Flats,200.8,519,171
FOREST RIVER/ SOUTH RIVER/ SALEM HARBOR,Orange,Lower North Shore,NA,23,Flats,13.6,409,21
GLOUCESTER HARBOR,Orange,Upper North Shore,1,26,Flats,13.7,3,0
HERRING RIVER / HERRING POND,Green,Cape Cod,2,16,Flats,15.9,335,274
IPSWICH RIVER,Yellow,Upper North Shore,4,88,Flats,82.4,25,267
JONES RIVER / KINGSTON BAY,Green,South Shore,4,38,Flats,33.2,964,1350
LITTLE HARBOR,Yellow,Massachusetts Bay,4,19,Flats,12.1,0,50
MANCHESTER HARBOR,Orange,Lower North Shore,NA,12,Flats,8.4,138,60
MARBLEHEAD HARBOR,Orange,Lower North Shore,NA,13,Flats,2.3,6,30
MERRIMACK RIVER,Yellow,Upper North Shore,4,168,Flats,125,972,899
NAMSKAKET CREEK / LITTLE NAMSKAKET CREEK,Yellow,Cape Cod,2,20,Flats,20.5,635,519
NEPONSET RIVER / DORCHESTER BAY,Orange,Massachusetts Bay,3,57,Flats,51.1,"1,226",467
NORTH RIVER / SOUTH RIVER,Yellow,South Shore,4,163,Flats,162.5,0,445
PAINE'S CREEK / STONY BROOK,Yellow,Cape Cod,2,6,Flats,5.5,787,683
PAMET RIVER / LITTLE PAMET RIVER,Yellow,Cape Cod,4,18,Flats,17.5,103,46
PARKER RIVER,Yellow,Upper North Shore,4,104,Flats,103.9,29,78
PROVINCETOWN HARBOR,Green,Cape Cod,1,38,Flats,33.7,"1,465",226
QUIVETT CREEK,Yellow,Cape Cod,2,16,Flats,15.7,348,382
ROCKPORT HARBOR (SANDY BAY),Blue,Upper North Shore,1,11,Flats,,0,4
ROWLEY RIVER,Yellow,Upper North Shore,4,75,Flats,72.6,21,95
SALEM SOUND / BEVERLY HARBOR,Orange,Lower North Shore,3,28,Flats,,250,86
SANDWICH HARBOR,Green,Cape Cod,4,76,Flats,76.1,49,23
SAUGUS RIVER / PINES RIVER / LYNN HARBOR,Yellow,Massachusetts Bay,3,118,Flats,106.4,131,678
SCITUATE HARBOR,Green,South Shore,4,17,Flats,15.6,7,65
SCORTON CREEK,Yellow,Cape Cod,4,40,Flats,36.7,38,6
SESUIT CREEK / SESUIT HARBOR,Yellow,Cape Cod,4,8,Flats,8.3,11,7
WEIR RIVER / STRAITS POND,Orange,Massachusetts Bay,3,36,Flats,30.1,161,174
WELLFLEET HARBOR,Yellow,Cape Cod,2,94,Flats,92.2,"2,381",1796
